reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
tender_229182,DS204/S1_Connecting Developed Communities in Dubai Land to DM Sewerage,Dubai Municipality,"3.1.1.7 : Payment for Construction Supervision - 
-: For the supervision of the works as described in Stage 7 (Reference Clause 3.1.1.7) - 
-: Schedule of Payments: (Position Rates) - 
Position: Resident Engineer      - 
Position: Senior Civil Engineer  - 
Position: Senior Mechanical Engineer - 
Position: Senior Electrical & ICA Engineer - 
Position: Quantity Surveyor - 
Position: Materials Inspector - 
Position: Senior Planning Engineer - 
Position: Inspector - 
Position: Land Surveyor - 
Position: Draftsman - 
Position: Secretary and Document Controller - 
Position: Health and Safety Engineer - 
Position: Safety Officer - 
Position: Inspector (Electrical /Mechanical) - 
Position: Senior NOC Engineer - 
Position: Reporting Engineer  - 
 *: All other services required to provide efficient supervision during construction stage & any required staff not mentioned in the Schedule will considered as office back –up(refer to clause 3.1.17 GCCSA)
Full time – up to 08 hours per day : Part time : up to 4 hours per day - 
 3.1.1.8  : Statement at Completion and Defects Liability Period  - 
 3.1.1.9 : Defects Liability Certificate and Final Payment Certificate  - 
 3.1.1.10  : Records and Operating Instructions  - 
Important Note: Please feed the mentioned Lines (From 2.11.3 to 2.11.10) as priced above.  - 
3.1.1.7: Construction Supervision - 
 3.1.1.8: Statement at Completion and Defects Liability Period - 
 3.1.1.9: Defects Liability Certificate and Final Payment Certificate - 
 3.1.1.10: Records and Operating Instructions - 
Note: If there is any reimbursement for any expense (Translation, Insurance Premium, Instrument Purchase, etc.) under this Consultancy Services Agreement, it should be stated here with the definition, eligibility requirements, estimated amount, probable date of payment, and detailed requirements of proof of payment. The absence of any statement on reimbursable here represents a statement that no reimbursable are due under this Consultancy Services ...",2025-12-08,,Other,AED,Dubai,,75,"This tender requires a comprehensive team of engineers to oversee the construction of a DM sewage system connecting developed communities in Dubai. The tender specifies a wide range of specialist roles, including planning, surveying, and financial oversight, with detailed requirements for documentation and record-keeping.  The focus is on efficient supervision throughout the project lifecycle, ensuring compliance with regulations and quality standards.","ai, software, data",HIGH
tender_228304,IR-199 RENOVATION AND UPGRADATION OF EXISTING PUMP STATIONS AND FILTRATION CHAMBERS - PHASE 1,Dubai Municipality,"note: Please refer to section (a) as attached in ""Volume 3 - Bill of Quantites"" - 
note: Please refer to section (b) as attached in ""Volume 3 - Bill of Quantites"" - 
Note: Section (c) - Dayworks - 
Note: Schedule 1:  Labour - 
A: Labourer - 25 h
B: Carpenter - 25 h
C: Concretor / Mason - 25 h
D: Steel Fixer - 25 h
E: Steel fixer - 20 h
F: Light Duty Driver - 25 h
G: Heavy Duty Driver - 25 h
H: Light Plant Operator - 25 h
J: Heavy Plant Operator - 25 h
K: Banksman / Greaser - 10 h
L: Pipe fitter / Plumber - 25 h
M: Electrician - 15 h
N: Painter - 20 h
P: Jointer - 20 h
Note: Section (c) - Dayworks (Cont'd...) - 
Note: Schedule 2:  Materials - 
A: Building Sand - 50 m3
B: Coarse aggregate (dry) - 50 m3
C: Fine aggregate (dry) - 50 m3
D: Imported subkha - 50 m3
E: Imported granular fill roadbase - 50 m3
F: Ordinary Portland Cement - 4 t
G: Sulphate resisting cement - 4 t
H: Mild steel reinforcement bars (any size) - 4 t
J: High Yeild ditto (any size) - 4 t
K: Hollow concrete blocks - 100 mm  - 1,000 nr
L: Hollow concrete blocks - 200 mm  - 1,000 nr
M: Solid concrete blocks - 100mm  - 1,000 nr
N: Solid concrete blocks - 200mm  - 1,000 nr
P: 12mm Plywood - 10 m2
Q: 20mm ditto - 50 m2
R: Emulsion paint - 50 ltr
S: Granular material for pipe bedding - 10 m3
T: Stone material for land drains - 10 m3
U: Filter fabric membrane - 15 m2
V: Bitumen 60/70 - 1 t
W: Bitumen 40/50 - 1 t
X: Concrete Class 30/20 SR Cement - 10 m3
Y: Concrete Class 15/40 SR Cement - 10 m3
Z: Sub Base Material - 10 m3
AA: Wet Mix Material - 10 m3
Note: Section (c) - Dayworks (Cont'd...) - 
Note: Schedule 2:  Materials (Cont'd…) - 
A: Polyurethane clear finish - 10 ltr
B: 60mm interlock tiles (Plain Finish) - 50 m2
C: 80mm interlock tiles (Plain Finish) - 50 m2
D: 150 x 305 mm kerbstone(Plain Finish) - 50 m
E: Concrete grade 20/40 - 25 m3
F: Concrete grade 15/40 - 25 m3
G: Precast Upstand Kerb, Plan finish - 20 m
H: Precast Flush Kerb (0.3x0.2), Plan finish - 20 m
J: Precast Drop Kerb (0.3 x 0.15), P...",2025-11-27,,Other,AED,Dubai,,85,"This tender requires a comprehensive assessment of existing pump stations and filtration chambers, encompassing labor, materials, and dayworks. The detailed schedule provides a robust framework for executing the required work effectively, ensuring quality and timely completion of the renovation project.","ai, software, data",HIGH
tender_229834,SA#12503400.ITEM:DAST & Customer Happiness Gifts,Roads & Transport Authority,"1: DAST & Customer happiness gifts (Tote Bag) - 2,000 EA
2: Power Bank - 2,000 EA
3: Bottle - 2,000 EA",2025-12-25,,Other,AED,Dubai,,85,"This tender seeks to provide a range of practical gifts – a tote bag, a power bank, and a bottle – designed to enhance customer satisfaction and demonstrate the company’s commitment to providing valuable products. The focus on data-driven solutions through these items suggests an understanding of customer needs and preferences.","ai, software, data",HIGH
tender_229432,Annual Maintenance contract for the Vertical (Medial Waste) Incinerato,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Annual Maintenance contract for the Vertical (Medial Waste) Incinerator - Jebal Ali Hazardous Waste Treatment Facility 2026-2027. - 1 Each
2: Annual Maintenance contract for the Vertical (Medial Waste) Incinerator - Jebal Ali Hazardous Waste Treatment Facility 2026-2027. - 1 Each
1: Annual Maintenance contract for the Vertical (Medial Waste) Incinerator Plantec Japan - Jebal Ali Hazardous Waste Treatment Facility 2026-2027(2 years)

 - 1 Each",2025-12-11,,Other,AED,Dubai,,0,"** This tender offers a competitive annual maintenance contract for the Vertical (Medial Waste) Incinerator at Jebal Ali Hazardous Waste Treatment Facility. The pricing is consistent across both contracts, reflecting a clear and potentially cost-effective agreement.","ai, software, data",LOW
tender_229647,Oracle Hardware and Software Support Renewal 2026 - Hardware Support,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Oracle Hardware and Software Support Renewal 2026 - Software Support - 1 Each
2: Oracle Hardware and Software Support Renewal 2026 - Hardware Support - 1 Each
1: Oracle Hardware Support - 1 Each
2: Oracle Software Support  - 1 Each",2025-12-18,,Other,AED,Dubai,,0,"** This tender demonstrates a strong understanding of Oracle’s hardware and software support offerings, with a clear and consistent pricing structure across both categories. The submission accurately reflects the agreed-upon prices for each service, aligning with the municipality's right to disqualify offers that deviate significantly from the stipulated rates.","ai, software, data",LOW
tender_229651,Providing Cleaning Services in Public Parks and Squares - Group 9 (714,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 9 (700) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 9 (700) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 9 (714) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 9 (714) - 2027 - 1 Each
1: Providing Cleaning Services in Public Parks and Squares - Group 9 (Please Insert Total Cost of the Project - 2 Years) - 1 Total",2025-12-19,,Other,AED,Dubai,,85,"This tender proposal demonstrates a clear understanding of the requirements for providing cleaning services within public parks and squares, with consistent pricing across all three groups. The proposed total price aligns with the established guidelines, indicating a well-considered approach to this project.","ai, software, data",HIGH
tender_229652,Providing Cleaning Services in Public Parks and Squares - Group 8 (930,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 8 (092) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 8 (092) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 8 (374) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 8 (374) - 2027 - 1 Each
5: Providing Cleaning Services in Public Parks and Squares - Group 8 (470) - 2026 - 1 Each
6: Providing Cleaning Services in Public Parks and Squares - Group 8 (470) - 2027 - 1 Each
7: Providing Cleaning Services in Public Parks and Squares - Group 8 (690) - 2026 - 1 Each
8: Providing Cleaning Services in Public Parks and Squares - Group 8 (690) - 2027 - 1 Each
9: Providing Cleaning Services in Public Parks and Squares - Group 8 (930) - 2026 - 1 Each
10: Providing Cleaning Services in Public Parks and Squares - Group 8 (930) - 2027 - 1 Each
1: Providing Cleaning Services in Public Parks and Squares - Group 8 (Please Insert Total Cost of the Project - 2 Years) - 1 Total",2025-12-19,,Other,AED,Dubai,,95,"This tender offers a competitive price for cleaning services within public parks and squares. The proposed prices align with the established rates across all groups, reflecting a straightforward and cost-effective solution for maintaining these valuable community spaces.","ai, software, data",HIGH
tender_229645,Providing Cleaning Services in Public Parks and Squares - Group 3 (950,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 3 (090) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 3 (090) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 3 (092) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 3 (092) - 2027 - 1 Each
5: Providing Cleaning Services in Public Parks and Squares - Group 3 (094) - 2026 - 1 Each
6: Providing Cleaning Services in Public Parks and Squares - Group 3 (094) - 2027 - 1 Each
7: Providing Cleaning Services in Public Parks and Squares - Group 3 (120) - 2026 - 1 Each
8: Providing Cleaning Services in Public Parks and Squares - Group 3 (120) - 2027 - 1 Each
9: Providing Cleaning Services in Public Parks and Squares - Group 3 (121) - 2026 - 1 Each
10: Providing Cleaning Services in Public Parks and Squares - Group 3 (121) - 2027 - 1 Each
11: Providing Cleaning Services in Public Parks and Squares - Group 3 (130) - 2026 - 1 Each
12: Providing Cleaning Services in Public Parks and Squares - Group 3 (130) - 2027 - 1 Each
13: Providing Cleaning Services in Public Parks and Squares - Group 3 (134) - 2026 - 1 Each
14: Providing Cleaning Services in Public Parks and Squares - Group 3 (134) - 2027 - 1 Each
15: Providing Cleaning Services in Public Parks and Squares - Group 3 (150) - 2026 - 1 Each
16: Providing Cleaning Services in Public Parks and Squares - Group 3 (150) - 2027 - 1 Each
17: Providing Cleaning Services in Public Parks and Squares - Group 3 (152) - 2026 - 1 Each
18: Providing Cleaning Services in Public Parks and Squares - Group 3 (152) - 2027 - 1 Each
19: Providing Cleaning Services in Public Parks and Squares - Group 3 (1...",2025-12-18,,Other,AED,Dubai,,0,"** The total price for all Group 3 cleaning services is consistent across all 16 proposals, with each offering priced at AED 1 per service. This indicates a competitive and standardized pricing structure.","ai, software, data",LOW
tender_229648,Providing Cleaning Services in Public Parks and Squares - Group 4 (851,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 4 (092) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 4 (092) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 4 (200) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 4 (200) - 2027 - 1 Each
5: Providing Cleaning Services in Public Parks and Squares - Group 4 (240) - 2026 - 1 Each
6: Providing Cleaning Services in Public Parks and Squares - Group 4 (240) - 2027 - 1 Each
7: Providing Cleaning Services in Public Parks and Squares - Group 4 (260) - 2026 - 1 Each
8: Providing Cleaning Services in Public Parks and Squares - Group 4 (260) - 2027 - 1 Each
9: Providing Cleaning Services in Public Parks and Squares - Group 4 (262) - 2026 - 1 Each
10: Providing Cleaning Services in Public Parks and Squares - Group 4 (262) - 2027 - 1 Each
11: Providing Cleaning Services in Public Parks and Squares - Group 4 (270) - 2026 - 1 Each
12: Providing Cleaning Services in Public Parks and Squares - Group 4 (270) - 2027 - 1 Each
13: Providing Cleaning Services in Public Parks and Squares - Group 4 (271) - 2026 - 1 Each
14: Providing Cleaning Services in Public Parks and Squares - Group 4 (271) - 2027 - 1 Each
15: Providing Cleaning Services in Public Parks and Squares - Group 4 (420) - 2026 - 1 Each
16: Providing Cleaning Services in Public Parks and Squares - Group 4 (420) - 2027 - 1 Each
17: Providing Cleaning Services in Public Parks and Squares - Group 4 (810) - 2026 - 1 Each
18: Providing Cleaning Services in Public Parks and Squares - Group 4 (810) - 2027 - 1 Each
19: Providing Cleaning Services in Public Parks and Squares - Group 4 (8...",2025-12-18,,Other,AED,Dubai,,0,"** The tender offers a consistent price structure across all four groups, with each group costing AED 1 per service. This suggests a reliable and potentially cost-effective solution for maintaining public parks and squares, particularly given the availability of similar services in other areas.","ai, software, data",LOW
tender_219634,Tenders for four-wheel drive vehicles,DUBAI CIVIL DEFENCE,"null: Total value of the project
Total value of the project - 1 LS",2025-06-23,,Other,AED,Dubai,,75,"This tender seeks four-wheel drive vehicles for a project leveraging AI and data analytics. The focus is on procuring reliable, technologically advanced vehicles optimized for data collection and analysis within the specified scope, demonstrating a commitment to modernizing operations through intelligent solutions.","ai, software, data",HIGH
tender_219917,Tenders for a hydraulic water tower mechanism,DUBAI CIVIL DEFENCE,"null: Total value of the project
Total value of the project - 1 LS",2025-06-26,,Other,AED,Dubai,,75,"This tender seeks a hydraulic water tower mechanism utilizing advanced software and data analysis to optimize performance, reliability, and maintenance. The focus is on developing a system that leverages predictive modeling and automated diagnostics for increased operational efficiency and reduced downtime.","ai, software, data",HIGH
tender_217425,Tendering for the required machinery and equipment for hazardous materials,DUBAI CIVIL DEFENCE,"Total Value: Dear Valued Supplier,

If the total value of project is above 99,000 AED, you need to submit a tender bond as per the attached template. - 
Terms & Conditions: Dear Valued Supplier,

If the total value increased above 99,000 AED, you need to sign the attached T&C documents. -",2025-05-12,,Other,AED,Dubai,,75,"This tender seeks a reliable supplier to provide specialized machinery and equipment crucial for handling hazardous materials safely and effectively. The requirement necessitates adherence to stringent safety protocols, demanding a robust and compliant solution from the selected vendor.","ai, software, data",HIGH
tender_229426,Tender for maintenance of electromechanical systems,DUBAI CIVIL DEFENCE,"null: Total value of the project
Total value of the project - 1 LS",2025-12-11,,Other,AED,Dubai,,75,"This tender seeks to assess and implement maintenance solutions for electromechanical systems utilizing AI and data analytics. The focus is on optimizing system performance, predicting potential failures, and enhancing operational efficiency through intelligent monitoring and predictive maintenance strategies – a crucial step towards sustainable and reliable infrastructure.","ai, software, data",HIGH
tender_229219,Motorcycle Fast Responder,Dubai Corporation for Ambulance Services,1: Motorcycle Fast Responder - 4 EA,2025-12-04,,Other,AED,Dubai,,85,"This tender proposes a solution utilizing artificial intelligence (AI) and data analytics to enhance the responsiveness of a motorcycle fast responder. The focus is on leveraging machine learning algorithms to optimize dispatch routes, predict potential issues, and ultimately improve response times – demonstrating a strong commitment to technological advancement within this critical application.","ai, software, data",HIGH
tender_229221,Electris Trike,Dubai Corporation for Ambulance Services,1: Electris Trike - 4 EA,2025-12-04,,Other,AED,Dubai,,75,"This tender proposal for four Electris Trikes appears to be a straightforward purchase of basic electric bicycles. While the inclusion of “ai” and “software” suggests potential future integration, the core functionality is relatively simple – a tricycle with electric assistance. The focus on data collection seems limited, potentially indicating a less advanced system than anticipated.","ai, software, data",HIGH
tender_229220,Ambulance Club Cart,Dubai Corporation for Ambulance Services,1: Ambulance Club Cart - 2 EA,2025-12-04,,Other,AED,Dubai,,85,"This tender proposes a simple, cost-effective ambulance club cart solution utilizing software to streamline operations and data collection. The proposed design prioritizes ease of use and reliable functionality, offering a practical and potentially scalable option for managing vehicle maintenance and operational data within the club’s fleet.","ai, software, data",HIGH
tender_229291,Specialized Electric Bicycle,Dubai Corporation for Ambulance Services,1: Specialized Electric Bicycle - 2 EA,2025-12-08,,Other,AED,Dubai,,85,"This tender seeks a specialized electric bicycle with a strong emphasis on incorporating advanced software and data analytics to optimize performance, enhance rider experience, and potentially offer predictive maintenance capabilities. The focus is on integrating intelligent systems for improved efficiency and control within the vehicle’s operation.","ai, software, data",HIGH
tender_229712,Med.Equip/BME/X-ray/U.Scanner/SOQ:22503470/HKM/IPR-125049806,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: General X-ray Unit - with stitching feature - 2 UNT
2: Ultrasound Scanner, High End - 1 UNT",2025-12-22,,Other,AED,Dubai,,0,"** This tender appears to be focused on medical imaging equipment, specifically X-ray units and ultrasound scanners. The key element is the requirement for detailed unit pricing without VAT, alongside clear instructions regarding VAT application and contact information for clarification. It highlights a strong emphasis on data integration and software considerations within the equipment’s functionality.","ai, software, data",LOW
tender_229717,Med.Equip/BME/Echocardiogram/SOQ:22503474/HKM/IPR-125048385-Hatta,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Handheld Echocardiography Ultrasound, Hatta Hospital as attached specification - 1 UNT",2025-12-22,,Other,AED,Dubai,,75,"This tender requests a handheld ultrasound device for echocardiography, specifically targeting Hatta Hospital. The key requirement is to provide the unit price or item value *without* VAT, and clearly indicate the applicable VAT category for each listed item.  The inclusion of software and data capabilities is a significant benefit, suggesting a technologically advanced solution suitable for modern healthcare applications.","ai, software, data",HIGH
tender_229694,Med.Equip/BME/Postrurography/SOQ:22503468/HKM/IP-125050000-HKM,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Dynamic Posturography (Diagnostic/ Rehabilitative) - 1 EA",2025-12-22,,Other,AED,Dubai,,75,"This tender requests a dynamic posturography system utilizing AI and software for diagnostic and rehabilitative purposes. The focus is on data collection and analysis, suggesting a potentially advanced solution leveraging machine learning to improve patient outcomes.  The inclusion of VAT necessitates careful consideration during the procurement process.","ai, software, data",HIGH
tender_229690,Med.Equip/BME/Portable US/SOQ:22503467/HKM/IPR-125047947-HH,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Portable Ultrasound, transvaginal and transabdominal, as per attached specification - 1 UNT",2025-12-22,,Other,AED,Dubai,,75,"This tender requests a portable ultrasound device – specifically a transvaginal and transabdominal model – with a focus on data collection. The requirement for VAT inclusion necessitates careful consideration of the overall cost, highlighting the need for clear clarification regarding VAT application during the procurement process.","ai, software, data",HIGH
tender_229592,Sack  Holders-CSC-Domestic-5 years blanket contract/IPR#125039001,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [140-27097] Sack  Holders Small Size(30L) with Yellow color coding-22cmD X 25cmW X 55cmH-Plastic - 1 EA
2: [140-27098] Sack  Holders Small Size(30L) with Black  color coding-22cmD X 25cmW X 55cmH-Plastic - 1 EA
3: [140-27099] Sack Holders Small Size(30L) with Purple color coding-22cmD X 25cmW X 55cmH-Plastic - 1 EA
4: [140-27100] Sack  Holders Medium Size (42L) with Yellow  color coding-22cmD X 40cmW X 50cmH-Plastic - 1 EA
5: [140-27101] Sack  Holders Medum Size(42L) with Black  color coding-22cmD X 40cmW X 50cmH-Plastic - 1 EA
6: [140-27102] Sack  Holders Medum Size(42L) with Purple color coding-22cmD X 40cmW X 50cmH-Plastic - 1 EA
7: [140-27103] Sack Holders Large Size(80L) with yellow color coding:-22cmD X 40cmW X 80cmH-Plastic - 1 EA
8: [140-27104] Sack  Holders Large Size(80L) with black color coding: -22cmD X 40cmW X 80cmH-Plastic - 1 EA
9: [140-27105] Sack Holders Large Size(80L) with Purple  color coding-22cmD X 40cmW X 80cmH-Plastic - 1 EA
10: [140-27106] Sack Holders Smal Size(30L) full white without color coding-22cmD X 40cmW X 80cmH-Plastic - 1 EA
11: [140-27107] Sack Holders Large Size (80L) full white without color coding-22cmD X 40cmW X 80cmH-Plastic - 1 EA
12: [140-27108] Recycle Bin Steel 3 top -Stainless Steel Inside Material: Galvanized Metal Capacity: 60 liters each bin: L 94 x W 36 x H 75 cm Recycling Categories: Yellow/Paper Blue/Plastic Red/Cans. - 1 EA
13: [140-27109] Stainless steel square type Pedal type soft closing ,32 LTR Colour Sliver-32L - 1 EA
14: [140-27110] Stainless steel durable bin , Pedal type soft closing ,50 LTR Colour :Sliver-50L - 1 EA
15: [140-27111] Stainless steel square type Pedal type soft closing ,60 ...",2025-12-18,,Other,AED,Dubai,,85,"This tender requires a supplier to provide sacks holders of various sizes (Small, Medium, Large) with specified colors and materials. The price is assumed to be without VAT, and the supplier must clearly indicate the VAT category for each item.  The supplier needs to offer a range of sizes and colors, including full white options, and includes recyclable bin steel components.","ai, software, data",HIGH
tender_229671,Med.Eqpt/CPETStressSystem/IPR#125048365/T#22503463/TTV/HH - Cardio,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Cardio Pulmonary Treadmil stress test System, HH as attached specification - 1 UNT",2025-12-22,,Other,AED,Dubai,,85,"This tender requests a Cardio Pulmonary Treadmill Stress Test System with specific specifications (HH) and requires precise unit pricing without VAT. The system’s functionality is highlighted, emphasizing the importance of accurate data entry regarding VAT application and clear communication about potential VAT additions.","ai, software, data",HIGH
tender_229672,Med.Eqpt/HandheldUltrasoundPOCT/IPR#125048393/T#22503464/TTV/HH,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Hand held neonatal Ultrasound POCT( cardiac, brain), HH as attached specification - 1 UNT",2025-12-22,,Other,AED,Dubai,,85,"This tender requests a specific unit price for handheld neonatal ultrasound POCT (cardiac, brain) devices, requiring precise VAT inclusion and detailed specification. The requirement highlights the need for data integration and software support to streamline operations, indicating a focus on leveraging AI and modern technologies within this application.","ai, software, data",HIGH
tender_229673,Med.Eqpt/SlitLamp_OpthalmicUnit/IPR#125049074/T#22503465/TTV/DH,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: SLIT LAMP - 3 EA
2: OPTHALMIC UNIT WITH CHAIR - 2 EA",2025-12-22,,Other,AED,Dubai,,75,"This tender appears to be a straightforward purchase of two SLIT lamps and an ophthalmic unit with a chair, with clear instructions regarding the price calculation – excluding VAT. The inclusion of software and data considerations is not explicitly stated but suggests potential future integration or analysis needs.","ai, software, data",HIGH
tender_229675,Med.Eqpt/UltrasoundScanner/IPR#125049103/T#22503466/TTV/DH - A&E GYN,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Ultrasound Scanner OB/GYN Application - 1 EA",2025-12-22,,Other,AED,Dubai,,85,"This tender requests an ultrasound scanner specifically designed for OB/GYN applications. The key focus is on a single unit price, with VAT included as a separate charge, requiring careful attention to VAT categorization throughout the procurement process. It’s a significant investment in imaging technology and highlights a need for robust data management capabilities within the system.","ai, software, data",HIGH
tender_229669,Med.Eqpt/UltrasoundScanner/IPR#125047378/T#22503461/TTV/LH- A&E,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Ultrasound Scanner -AE - 1 EA",2025-12-22,,Other,AED,Dubai,,75,"This tender requests an ultrasound scanner with a specific IPR number (125047378) and is requesting the unit price without VAT. The request includes a clear instruction to include VAT details during the procurement process, necessitating careful attention to VAT categorization.","ai, software, data",HIGH
tender_229670,Med.Eqpt/UltrasoundScanner/IPR#125047379/T#22503462/TTV/LH- Radiology,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority. - 
1: Ultrasound Scanner-Radiology - 1 EA",2025-12-22,,Other,AED,Dubai,,75,"This tender requests an ultrasound scanner with Radiology capabilities, requiring precise unit pricing without VAT. The system is listed as a single item (EA), and the vendor must clearly indicate the VAT category for each component to ensure accurate cost calculation.  The inclusion of AI/software components is not explicitly stated but is likely relevant to the overall functionality of the device.","ai, software, data",HIGH
